Regionfilter,Country filter,Employee filter,Industryfilter,IT-Business filter,Q20,Q2101101,Q2102101,Q2103101,Q2104101,Q2105101,Q2106101,Q2107101,Q2108101,Q2109101,Q2110101,Q2111101,Q2112101,Q2113101,Q22,Q23,Q2401102,Q2402102,Q2403102,Q2404102,Q2405102,Q2406102,Q2407102,Q2408102,Q2409102,Q2410102,Q2411102,Q2412102,Q2413102,Q2414102,Q2415102,Q2901103,Q2902103,Q2903103,Q2904103,Q2906103,Q2908103,Q2909103,Q2910103,Q2911103,Q2912103,Q2913103,Q2914103,Q2915103,Q2916103,Q2937103,Q2917103,Q2938103,Q2918103,Q2919103,Q2920103,Q2921103,Q2922103,Q2923103,Q2924103,Q2925103,Q2926103,Q2927103,Q2929103,Q2930103,Q2931103,Q2932103,Q2933103,Q2934103,Q2935103,Q3001104,Q3002104,Q3003104,Q3004104,Q3006104,Q3008104,Q3009104,Q3010104,Q3011104,Q3012104,Q3013104,Q3014104,Q3036104,Q3015104,Q3037104,Q3016104,Q3017104,Q3019104,Q3020104,Q3021104,Q3022104,Q3023104,Q3024104,Q3025104,Q3026104,Q3028104,Q3029104,Q3030104,Q3031104,Q3032104,Q3033104,Q3034104,Q3035104,Q3101105,Q3102105,Q3103105,Q3104105,Q3105105,Q3107105,Q3109105,Q3110105,Q3111105,Q3112105,Q3113105,Q3114105,Q3115105,Q3138105,Q3116105,Q3117105,Q3118105,Q3139105,Q3119105,Q3120105,Q3121105,Q3122105,Q3123105,Q3124105,Q3125105,Q3126105,Q3127105,Q3128105,Q3130105,Q3131105,Q3132105,Q3133105,Q3134105,Q3135105,Q3136105,Q3201106,Q3202106,Q3203106,Q3204106,Q3205106,Q3207106,Q3209106,Q3210106,Q3211106,Q3212106,Q3213106,Q3214106,Q3215106,Q3242106,Q3216106,Q3243106,Q3217106,Q3218106,Q3220106,Q3221106,Q3222106,Q3223106,Q3224106,Q3225106,Q3226106,Q3227106,Q3228106,Q3230106,Q3232106,Q3234106,Q3235106,Q3236106,Q3237106,Q3238106,Q3239106,Q3219106,Q3240106,Q35_1,Q35_2,Q35_3,Q35_4,Q35_5,Q35_6,Q35_7,Q36,Q37,Q3801107,Q3802107,Q3803107,Q3804107,Q3805107,Q3806107,Q3807107,Q3808107,Q3809107,Q3810107,Q3811107,Q3812107,Q3813107,Q3814107,Q3815107,Q3816107,Q3817107,Q3818107,Q3819107,Q3820107,Q3822107,Q3821xy,Q3901108,Q3902108,Q3903108,Q3904108,Q3905108,Q3906108,Q3907108,Q3908108,Q3909108,Q3910108,Q3911108,Q3912108,Q3913108,Q3914108,Q3915108,Q4001109,Q4002109,Q4003109,Q4004109,Q4005109,Q4006109,Q4007109,Q4008109,Q4009109,Q4010109,Q4011109,Q4012109,Q4013109,Q4014109,Q4015109,Q4016109,Q42_1,Q42_2,Q42_3,Q42_4,Q42_5,Q42_6,Q43_1,Q43_2,Q43_3,Q43_4,Q43_5,Q44_1,Q44_2,Q44_3,Q44_4,Q44_5,Q44_6,Q44_7,Q44_8,Q44_9,Q44_10,Q44_11,Q46,Q47_1,Q47_2,Q48,Q49,Q50,Q52,Q5301110,Q5302110,Q5303110,Q5304110,Q5306110,Q54_1,Q54_2,Q54_3,Q54_4,Q54_5,Q54_6,Q54_7,Q54_8,Q54_9,Q54_10,Q54_11,Q54_12,Q54_13,Q61,Q62,Q6301111,Q6302111,Q6303111,Q6304111,Q6305111,Q6306111,Q6307111,Q6308111,Q6309111,Q6310111,Q6311111,Q6312111,Q6313111,Q6314111,Q6315111,Q6316111,Q6317111,Q6318111,Q6319111,Q6320111,Q6321111,Q70,q55_discrete,q55_2_discrete,q55_3_discrete,q55_1_2,Q70_regions,Q68_bundled,q33_bundled,q27_bundled1112,q27_bundled2112,q27_bundled3112,q27_bundled4112,q27_bundled5112,q27_bundled6112,q27_bundled8112,q27_bundled10112,q27_bundled11112,q27_bundled12112,q27_bundled15112,q27_bundled16112,q27_bundled17112,q27_bundled18112,q27_bundled19112,q27_bundled20112,q27_bundled21112,q27_bundled22112,q27_bundled23112,q27_bundled24112,q27_bundled25112,q27_bundled26112,q27_bundled27112,q27_bundled40112,q27_bundled29112,q27_bundled30112,q27_bundled31112,q27_bundled32112,q27_bundled33112,q27_bundled34112,q27_bundled35112,q27_bundled36112,q27_bundled37112,q27_bundled38112,q27_bundled39112,q27_bundled41112,q27_bundled999112,q28_bundled1113,q28_bundled2113,q28_bundled3113,q28_bundled4113,q28_bundled5113,q28_bundled6113,q28_bundled8113,q28_bundled10113,q28_bundled11113,q28_bundled12113,q28_bundled15113,q28_bundled16113,q28_bundled17113,q28_bundled18113,q28_bundled19113,q28_bundled20113,q28_bundled21113,q28_bundled22113,q28_bundled23113,q28_bundled24113,q28_bundled25113,q28_bundled26113,q28_bundled27113,q28_bundled40113,q28_bundled29113,q28_bundled30113,q28_bundled31113,q28_bundled32113,q28_bundled33113,q28_bundled34113,q28_bundled35113,q28_bundled36113,q28_bundled37113,q28_bundled38113,q28_bundled39113,q28_bundled41113,q28_bundled999OtherOther3,q_eur,Q70_regions,ID,Q1,Q2,Q33,Q41
North America,Canada,More than 6000,Manufacturing,Did not respond,,Management,Finance/Controlling,Human resources,IT,,Logistics,Marketing,Procurement,Operations/Production,,Sales,,,Member of a cross-departmental BI team,Yes,,,,,,,,,,,,,,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Microsoft Power BI,,,,,,,,,,,,SAP BO Analysis,,SAP Lumira Designer,SAP Lumira Discovery,SAP BO WebI,,,,,,,,,,,In use,In use,Not required,In use,Planned in the long term,In use,In use,2018,Competitively evaluated multiple products,Functionality,,,Ease of use for report designers,Ease of use for report recipients,,,,,,,,,,,,,,,,,,,,,,,,,,,Lack of project management,,Unclear requirements,Software-related issues,,,,Company politics,Lack of interest from business users,,,,,,,,,,,Unreliable software,,,,,,,,,Good,Moderate,Moderate,Moderate,Good,Moderate,High,High,Moderate,High,Moderate,Moderate,Moderate,Moderate,Moderate,High,Definitely,Good,Good,Good,3 to less than 6 months,30 to less than 60 seconds,100 to less than 250 GB,View,Navigate,,,,Planned within 12 months,Planned within 12 months,Planned in the long term,In use,In use,In use,Planned in the long term,Planned within 12 months,Planned in the long term,In use,In use,Planned in the long term,Planned in the long term,Not very feasible,Important,,,,,,,,,,Quality assurance/analysis,,,,,Real-time process monitoring,Capacity/resource planning,IoT analytics,,Predictive analytics,,,Canada,10001 -  100000,76 - 300,25 - 75,1 to less than 5%,North America,Manufacturing,MS Power BI,,,,,,,,,,,IBM Cog Analytics,,,,,,,,MS Power BI,,,,,,,,,,,SAP BO Analysis,SAP BO WebI,,Sisense,Tableau,,,Other,,,,,,,,,,,,,,,,,,,MS Power BI,,,,,,,,,,,SAP BO Analysis,SAP BO WebI,,,,,,Other,,North America,110543,English,Consultant,Microsoft Power BI,
North America,United States of America,More than 6000,Services,Did not respond,,,Finance/Controlling,,,,Logistics,,,,,Sales,,,External consultant,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAP Crystal Reports,,,Tableau,,,,,,In use,In use,Planned to use within 12 months,In use,Planned in the long term,Planned to use within 12 months,Planned in the long term,2017,Competitively evaluated multiple products,Functionality,,,Ease of use for report designers,,,Predefined data connections,,,,,,Price-performance ratio,,,Proof of concept faster or better,,,,,,,,,,,,,,,,,,,,No significant problems,,,,,,,,,,,,,,,,No significant problems,,,,,,,,Good,Good,Good,Moderate,Moderate,Moderate,High,High,High,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate,High,Definitely,Good,Good,Good,6 to less than 12 months,1 to less than 5 seconds,1 to less than 5 TB,View,,Explore/Analyze,,,Not required,Not required,Not required,In use,Planned within 12 months,Planned in the long term,In use,Planned in the long term,Not required,In use,In use,Planned in the long term,Planned in the long term,Feasible,Important,Pricing and offer optimization,Supply network optimization,,,,,,,,,Sales management and analysis,,,,,,,,,,,United States of America,2501 – 10000,25 - 75,25 - 75,1 to less than 5%,North America,Services,Tableau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tableau,,,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tableau,,,Other,,North America,110585,English,Consultant,Tableau,
South America,Mexico,Less than 150,IT,Business,Operations/Production,,,Human resources,,,,,,,,,,,Person responsible for departmental BI,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In use,In use,In use,Not required,In use,In use,In use,Before 2010,No formal evaluation,Functionality,,,,,Fast query performance,,High innovative capacity of the vendor,,,Flexibility,,,,,,,,,,,,,,,,,,Tight deadline,,,Lack of project management,,,,,,,Company politics,,,Poor data governance,,,,,,,,,,,,Very good,Good,Very good,Good,Average,Good,Good,Moderate,Good,Good,Good,High,High,High,High,High,High,High,High,Low,Moderate,High,Definitely,Satisfactory,Satisfactory,Excellent,Less than 1 month,,50 to less than 500 MB,View,Navigate,,,Create reports,Not required,Not required,Not required,Planned in the long term,Planned in the long term,Planned in the long term,Planned in the long term,Planned in the long term,Planned in the long term,In use,In use,In use,In use,Not very feasible,Very important,,,,,,Security analytics,,,,Quality assurance/analysis,,,Predictive maintenance,,,,,,Predictive analytics,,,Mexico,51-100,Less than 25,Less than 25,10 to less than 15%,South America,IT,MS Excel,,,,,,,,,,,,,,,,,,MS Excel,MS Power BI,,,,,,,Qlik Sense,QlikView,,,,,,,Tableau,,,,,,,,,,,,,,,,,,,,,,MS Power BI,,,,,,,,,,,,,,,,,,,,South America,110590,English,User,Microsoft Excel,Yes
Europe,Spain,Less than 150,Manufacturing,Did not respond,Separate BI organization unit,Management,Finance/Controlling,,IT,,Logistics,Marketing,,Operations/Production,,Sales,Service,,Member of a cross-departmental BI team,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In use,In use,In use,Planned to use within 12 months,Planned to use within 12 months,Planned to use within 12 months,Planned to use within 12 months,2017,Competitively evaluated multiple products,Functionality,,,Ease of use for report designers,Ease of use for report recipients,,,,Vendor or product reputation,,,,,Corporate standard,,,,,,,,,,Data migration,,,,,,,,,,,,,,,,Lack of interest from business users,,,,,,Query performance too slow,,,,,,,,,,,,,,Moderate,Moderate,Moderate,Moderate,Poor,Not achieved,Low,Moderate,Not achieved,Not achieved,Not achieved,Low,Not achieved,Not achieved,Moderate,Low,Maybe,None used so far,Satisfactory,Not very good,1 to less than 3 months,1 to less than 5 seconds,5 to less than 10 GB,View,,Explore/Analyze,,,In use,Planned within 12 months,In use,In use,Planned in the long term,Planned within 12 months,Not required,,In use,In use,In use,Planned within 12 months,Planned within 12 months,Feasible,Very important,,Supply network optimization,,,,,Geospatial analysis,,,Quality assurance/analysis,,,,,,,,,Predictive analytics,,,Spain,Less than 50,Less than 25,Less than 25,40 to less than 50%,Europe,Manufacturing,Tableau,,,,,,,,,,,,,,,,,,MS Excel,MS Power BI,,,,,,,,QlikView,,,,,,,Tableau,,,,,,,,,,,,,,,,,,,,,MS Excel,MS Power BI,,,,,,,,QlikVIew,,,,,,,Tableau,,,,Southern Europe,Europe,110600,English,User,Tableau,No
Europe,Netherlands,1500 - 6000,Services,Business,Finance/Controlling,Management,Finance/Controlling,Human resources,,,Logistics,,,Operations/Production,,Sales,,,Person responsible for departmental BI,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In use,In use,In use,Not required,Not required,Not required,In use,Before 2010,Evaluated only the selected product,,,,,,,,,Vendor or product reputation,,,,,,,,,,,,,,,,,,,,,,,,,,,No significant problems,,,,,,,,,,,,,,,,No significant problems,,Good,Good,Average,Average,Poor,Good,Good,Good,Good,Good,Good,Not achieved,Moderate,Moderate,Moderate,Low,Not achieved,Not achieved,Low,Not achieved,Moderate,Moderate,Probably,Good,Good,Satisfactory,1 to less than 3 months,5 to less than 10 seconds,1 to less than 5 GB,View,Navigate,Explore/Analyze,,,Planned within 12 months,Planned in the long term,Not required,Not required,In use,In use,Not required,Not required,Not required,Not required,Not required,Not required,Not required,Not very feasible,Important,,,,,,,,,,,,,,,,,,,Predictive analytics,,,Netherlands,1001 – 2500,76 - 300,76 - 300,5 to less than 10%,Europe,Services,MS SSRS,,,,,,,,,,,,,,,,,,,,MS SSRS,,,,,,Qlik Sense,QlikView,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS SSRS,,,,,,,QlikVIew,,,,,,,,,,,BeNeLux,Europe,110613,English,User,Microsoft SSRS,Yes
Europe,Belgium,Did not respond,Services,Did not respond,,Management,,,,,,,,,,,,,CEO,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In use,In use,Not required,Not required,Not required,In use,Not required,2018,Evaluated only the selected product,Functionality,,,,,,Predefined data connections,,,,Flexibility,,Price-performance ratio,,,,,,,,,,,,,,,,,,,,,,,No significant problems,,,,,,,,,,,,,,,,No significant problems,,,,,,,,Moderate,Good,Moderate,Moderate,Good,Moderate,High,Moderate,High,,High,Moderate,High,Moderate,High,High,Definitely,Satisfactory,None used so far,Excellent,1 to less than 3 months,Less than 1 second,50 to less than 500 MB,View,,Explore/Analyze,,,In use,Not required,In use,In use,In use,Not required,Not required,Not required,In use,In use,In use,Planned within 12 months,In use,Very feasible,Very important,,,Customer behavior analysis,Churn prevention,,,Geospatial analysis,,Unified view of customers,,,,,,,,IoT analytics,,,,,Belgium,,,,,Europe,Services,MS Power BI,,,,,,,,,,,,,,,,,,,MS Power BI,,,,,,,,,,,,,,,Tableau,,,,,,,,,,,,,,,,,,,,,,MS Power BI,,,,,,,,,,,,,,,,,,,BeNeLux,Europe,110620,English,Consultant,Microsoft Power BI,
Europe,Sweden,1500 - 6000,Did not respond,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sweden,1001 – 2500,,,,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northern Europe,Europe,110632,English,Vendor,,
North America,United States of America,Did not respond,Public sector and Education,IT,IT,,,,,,,,,,,,,,IT employee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States of America,,,,,North America,Public sector and Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North America,110636,English,Non user,,
South America,Mexico,More than 6000,Did not respond,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mexico,10001 -  100000,,,,South America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,South America,110686,English,Vendor,,
North America,United States of America,More than 6000,Retail/Wholesale,IT,IT,Management,Finance/Controlling,Human resources,IT,,Logistics,Marketing,Procurement,Operations/Production,,Sales,Service,,IT employee,Yes,Company politics,,Key product features,,,,,,,,,,Too expensive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In use,In use,In use,In use,Planned to use within 12 months,Planned to use within 12 months,Not required,2011,Competitively evaluated multiple products,Functionality,Support of large numbers of users,Large data handling capacity,,,,,High innovative capacity of the vendor,,,Flexibility,,,,,,,,,,,,,,,,,,,,,,,Unclear requirements,,,,,,,,,,,,,,,,,,No significant problems,,,,,,,,Moderate,Moderate,Good,Good,Good,Moderate,Moderate,High,High,Moderate,High,Moderate,High,High,High,High,Definitely,Excellent,Good,Good,6 to less than 12 months,30 to less than 60 seconds,1 to less than 5 TB,View,Navigate,Explore/Analyze,Model/Enrich,Create reports,Planned in the long term,Planned within 12 months,In use,Planned within 12 months,Planned within 12 months,In use,In use,Planned within 12 months,Planned within 12 months,In use,In use,In use,In use,Very feasible,Important,,Supply network optimization,,Churn prevention,,,,,Unified view of customers,,Sales management and analysis,,,,,Capacity/resource planning,,Corporate performance management,,,,United States of America,10001 -  100000,More than 300,More than 300,5 to less than 10%,North America,Retail/Wholesale,MicroStrategy,,,,,,,,,,,,,,Information Builders,,,,,,,MicroStrategy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MicroStrategy,,,,,,,,,,,,,,,,,,North America,110693,English,User,MicroStrategy,No
North America,United States of America,Did not respond,Other,IT,IT,,,,,,,,,,,,,,Person responsible for BI from IT department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States of America,,,,,North America,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North America,110704,English,Non user,,
Europe,Czech Republic,Less than 150,Did not respond,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Czech Republic,51-100,,,,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Europe,Europe,110712,English,Vendor,,
North America,United States of America,150 - 500,Public sector and Education,Business,Management (CXO),Management,,,,,,,,,,,,,Head of business department,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not required,Planned in the long term,Planned in the long term,Planned in the long term,Planned in the long term,Not required,Not required,,No formal evaluation,,,,,,,,,,,,,,,,,,,,,,,Customization of the product,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No significant problems,,,,,,,,Poor,Moderate,Moderate,Moderate,Moderate,Low,Low,Not achieved,Low,Low,Low,Low,Low,Low,Low,Low,Probably not,Satisfactory,Satisfactory,Satisfactory,,5 to less than 10 seconds,500 MB to less than 1 GB,View,,,,,,,,,,,,,,,,,,Not very feasible,Important,Pricing and offer optimization,,,,,,,,,,,,,Simulation,,,,,,,,United States of America,251 - 500,Less than 25,Less than 25,1 to less than 5%,North America,Public sector and Education,Other,,,,,,,,,,,,,,,,,,MS Excel,,,,,,,,,,,,,,,,Tableau,,,Other,,,,,,,,,,,,,,,,,,MS Excel,MS Power BI,,,,,,,,,,,,,,,,,,,,North America,110715,English,User,SAP Crystal Reports,No
Europe,Sweden,Less than 150,Did not respond,Did not respond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sweden,51-100,,,,Europe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northern Europe,Europe,110769,English,Vendor,,
Europe,Poland,Did not respond,Utilities,IT,IT,,,,,,,,,,,,,,CIO/Head of IT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Poland,,,,,Europe,Utilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eastern Europe,Europe,110792,English,Non user,,
Europe,United Kingdom,500 - 1500,Public sector and Education,Business,Finance/Controlling,,,,,,,,,,,,,,Head of business department,Yes,,,,,,,,,Not flexible enough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Planned to use within 12 months,Planned to use within 12 months,Planned to use within 12 months,Planned to use within 12 months,Planned to use within 12 months,Planned to use within 12 months,Planned to use within 12 months,2016,No formal evaluation,,,,,,,Predefined data connections,,,,,,,,,,,,,,,,,,Lack of expertise of implementation partner,,,,,Costs higher than expected,,Lack of project management,,,,,,,,,,,,,,,,Software difficult to use,Software not flexible enough,,,,,,,,,,,Moderate,Moderate,Moderate,Moderate,Poor,Not achieved,Not achieved,Not achieved,Not achieved,Not achieved,Not achieved,Not achieved,Low,Not achieved,Not achieved,Not achieved,Probably not,Satisfactory,Satisfactory,Not very good,3 to less than 6 months,5 to less than 10 seconds,5 to less than 10 GB,,,,,Create reports,Planned in the long term,Planned in the long term,Planned in the long term,Planned in the long term,Planned in the long term,Planned in the long term,Planned in the long term,Planned in the long term,Planned in the long term,Not required,Planned in the long term,Planned in the long term,Planned in the long term,Feasible,Important,,,,,,,Geospatial analysis,,Unified view of customers,,,Risk management/Minimizing risks,,,,,,,Predictive analytics,,,United Kingdom,1001 – 2500,Less than 25,Less than 25,1 to less than 5%,Europe,Public sector and Education,SAP BO WebI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAP BO WebI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAP BO WebI,,,,,,,United Kingdom & Ireland,Europe,110801,English,User,SAP BO Web Intelligence,No
Europe,Austria,500 - 1500,Other,Business,Finance/Controlling,Management,Finance/Controlling,Human resources,IT,,Logistics,Marketing,Procurement,Operations/Production,R&D,Sales,Service,,Head of business department,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In use,In use,In use,In use,Planned to use within 12 months,Planned in the long term,Not required,2016,Competitively evaluated multiple products,,,,,,,,,,,,,Price-performance ratio,,,,,,,,,,,,,,,,,,,,,,,,Other,,,,,,,Cannot handle large numbers of users,,,,,,,,,,Average,Average,Average,Average,Average,Average,Good,Moderate,Good,Good,Good,Moderate,High,Low,Moderate,Moderate,Low,High,Moderate,Not achieved,High,High,Probably,Good,,Good,1 to less than 3 months,1 to less than 5 seconds,,View,Navigate,Explore/Analyze,,Create reports,Planned in the long term,Not required,Planned in the long term,Planned in the long term,In use,Planned in the long term,In use,In use,In use,In use,In use,In use,In use,Very feasible,Important,Pricing and offer optimization,Supply network optimization,Customer behavior analysis,Churn prevention,,Security analytics,Geospatial analysis,,Unified view of customers,Quality assurance/analysis,Sales management and analysis,,,,,,,,,,,Austria,1001 – 2500,More than 300,25 - 75,30 to less than 40%,Europe,Other,MS Power BI,,,,,,,,,,,,,,,,,,MS Excel,MS Power BI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MS Power BI,,,,,,,,,,,,,,,,,,,DACH,Europe,110802,Deutsch,User,Microsoft Power BI,Yes
