Peer,vendor,KPI,value,place
Large international BI vendors ,MS SSRS,Price-to-value,8.998893193,Leader
Large international BI vendors ,MS SSRS,Recommendation,6.030957114,Leader
Large international BI vendors ,MS SSRS,Vendor support,5.990664296,Leader
Large international BI vendors ,MS SSRS,Implementer support,5.156775172,Leader
Large international BI vendors ,MS SSRS,Ease of use,4.749727419,Leader
Large international BI vendors ,MS SSRS,Customer experience,4.304023613,Leader
Large international BI vendors ,MS SSRS,Cloud BI,2.012996055,Leader
Large international BI vendors ,MS SSRS,Innovation,4.323389058,Leader
Large international BI vendors ,MicroStrategy,Project length,3.215384615,Leader
Large international BI vendors ,MicroStrategy,Price-to-value,5.802343268,Leader
Large international BI vendors ,MicroStrategy,Recommendation,6.319418816,Leader
Large international BI vendors ,MicroStrategy,Vendor support,5.933905562,Leader
Large international BI vendors ,MicroStrategy,Implementer support,5.146943535,Leader
Large international BI vendors ,MicroStrategy,Ease of use,4.346793647,Leader
Large international BI vendors ,MicroStrategy,Customer experience,6.216359305,Leader
Large international BI vendors ,MicroStrategy,Cloud BI,2.849625195,Leader
Large international BI vendors ,MicroStrategy,Innovation,6.07769692,Leader
Large international BI vendors ,Oracle BI,Project length,1.886021505,Leader
Large international BI vendors ,Oracle BI,Price-to-value,4.190005139,Leader
Large international BI vendors ,Oracle BI,Recommendation,2.390514059,Leader
Large international BI vendors ,Oracle BI,Vendor support,3.075628357,Leader
Large international BI vendors ,Oracle BI,Implementer support,3.732988495,Leader
Large international BI vendors ,Oracle BI,Ease of use,4.242759707,Leader
Large international BI vendors ,Oracle BI,Customer experience,5.876438769,Leader
Large international BI vendors ,Oracle BI,Cloud BI,2.681364586,Leader
Large international BI vendors ,Oracle BI,Innovation,3.740591807,Leader
Large international BI vendors ,Qlik Sense,Project length,6.733333333,Leader
Large international BI vendors ,Qlik Sense,Price-to-value,8.074401703,Leader
Large international BI vendors ,Qlik Sense,Recommendation,8.150604569,Leader
Large international BI vendors ,Qlik Sense,Vendor support,6.867476577,Leader
Large international BI vendors ,Qlik Sense,Implementer support,6.464644306,Leader
Large international BI vendors ,Qlik Sense,Ease of use,5.790214979,Leader
Large international BI vendors ,Qlik Sense,Customer experience,7.004771264,Leader
Large international BI vendors ,Qlik Sense,Cloud BI,4.9765169,Leader
Large international BI vendors ,Qlik Sense,Innovation,6.436239344,Leader
Large international BI vendors ,Phocas,Project length,7.017391304,Leader
Large international BI vendors ,QlikView,Price-to-value,7.333186069,Leader
Large international BI vendors ,QlikView,Recommendation,7.146653974,Leader
Large international BI vendors ,Phocas,Vendor support,6.93524534,Leader
Large international BI vendors ,QlikView,Implementer support,6.296681148,Leader
Large international BI vendors ,QlikView,Ease of use,5.994831681,Leader
Large international BI vendors ,QlikView,Customer experience,6.495704558,Leader
Large international BI vendors ,QlikView,Cloud BI,3.4051588,Leader
Large international BI vendors ,QlikView,Innovation,5.921365445,Leader
Large international BI vendors ,SAP BEx,Project length,1,Leader
Large international BI vendors ,SAP BEx,Price-to-value,3.295618051,Leader
Large international BI vendors ,SAP BEx,Recommendation,1,Leader
Large international BI vendors ,SAP BEx,Vendor support,4.659059985,Leader
Large international BI vendors ,SAP BEx,Implementer support,4.206278427,Leader
Large international BI vendors ,SAP BEx,Ease of use,1,Leader
Large international BI vendors ,SAP BEx,Customer experience,2.918098378,Leader
Large international BI vendors ,SAP BEx,Cloud BI,2.080965736,Leader
Large international BI vendors ,SAP BEx,Innovation,2.807115709,Leader
Large international BI vendors ,SAP BO BI,Project length,3.782795699,Leader
Large international BI vendors ,SAP BO BI,Price-to-value,3.567924881,Leader
Large international BI vendors ,SAP BO BI,Recommendation,3.006764607,Leader
Large international BI vendors ,SAP BO BI,Vendor support,2.785722853,Leader
Large international BI vendors ,SAP BO BI,Implementer support,3.630687812,Leader
Large international BI vendors ,SAP BO BI,Ease of use,4.887824648,Leader
Large international BI vendors ,SAP BO BI,Customer experience,4.518981876,Leader
Large international BI vendors ,SAP BO BI,Cloud BI,2.676755148,Leader
Large international BI vendors ,SAP BO BI,Innovation,3.878891443,Leader
Large international BI vendors ,SAS Enterprise BI,Project length,2.263157895,Leader
Large international BI vendors ,SAS Enterprise BI,Price-to-value,3.182939363,Leader
Large international BI vendors ,SAS Enterprise BI,Recommendation,4.540258449,Leader
Large international BI vendors ,SAS Enterprise BI,Vendor support,6.887846674,Leader
Large international BI vendors ,SAS Enterprise BI,Implementer support,4.592866539,Leader
Large international BI vendors ,SAS Enterprise BI,Ease of use,2.335086071,Leader
Large international BI vendors ,SAS Enterprise BI,Customer experience,5.854974813,Leader
Large international BI vendors ,SAS Enterprise BI,Cloud BI,2.681364586,Leader
Large international BI vendors ,SAS Enterprise BI,Innovation,3.827740531,Leader
Large international BI vendors ,Tableau,Project length,7.694117647,Leader
Large international BI vendors ,Tableau,Price-to-value,6.564909705,Leader
Large international BI vendors ,Tableau,Recommendation,6.36361829,Leader
Large international BI vendors ,Tableau,Vendor support,6.758173619,Leader
Large international BI vendors ,Tableau,Implementer support,5.932858105,Leader
Large international BI vendors ,Phocas,Ease of use,7.142098841,Leader
Large international BI vendors ,Tableau,Customer experience,5.340093261,Leader
Large international BI vendors ,Tableau,Cloud BI,3.768710405,Leader
Large international BI vendors ,Tableau,Innovation,5.626535455,Leader
Large international BI vendors ,TIBCO Spotfire,Project length,5.177777778,Leader
Large international BI vendors ,TIBCO Spotfire,Price-to-value,3.554779034,Leader
Large international BI vendors ,TIBCO Spotfire,Recommendation,5.821736249,Leader
Large international BI vendors ,TIBCO Spotfire,Vendor support,5.833172492,Leader
Large international BI vendors ,TIBCO Spotfire,Implementer support,4.124676715,Leader
Large international BI vendors ,TIBCO Spotfire,Ease of use,5.794852163,Leader
Large international BI vendors ,Phocas,Customer experience,7.80725827,Leader
Large international BI vendors ,TIBCO Spotfire,Cloud BI,5.385219097,Leader
Large international BI vendors ,TIBCO Spotfire,Innovation,5.594339056,Leader
Large international BI vendors ,Peer Group Average,Project length,4.347158524,Leader
Large international BI vendors ,Peer Group Average,Price-to-value,6.036252916,Leader
Large international BI vendors ,Peer Group Average,Recommendation,5.035747397,Leader
Large international BI vendors ,Peer Group Average,Vendor support,5.532460495,Leader
Large international BI vendors ,Peer Group Average,Implementer support,5.29429635,Leader
Large international BI vendors ,Peer Group Average,Ease of use,4.671169317,Leader
Large international BI vendors ,Peer Group Average,Customer experience,5.581372561,Leader
Large international BI vendors ,Peer Group Average,Cloud BI,3.335462001,Leader
Large international BI vendors ,Peer Group Average,Innovation,4.693476398,Leader
